,hotel_name,app_name,category,permit_day,address,permit_date,keido,ido,year,age,count
624,柊家旅館,"柊家　株式会社
代表取締役　西村　勝",旅館,S11.11.25,京都市中京区麩屋町通姉小路上ル中白山町277,1936-11-25 00:00:00,135.76557642,35.01031102,1936,1930,1
407,若葉家,"振古　祥子
　",旅館,S12.01.22,京都市左京区聖護院川原町29,1937-01-22 00:00:00,135.77735567,35.01842976,1937,1930,1
1828,川嶋旅館,"川嶋　健義
　",旅館,S18.10.21,京都市下京区綾小路通柳馬場西入綾材木町２０７番地の２,1943-10-21 00:00:00,135.76377128,35.00243944,1943,1940,1
1166,うえむら,"上村　日出子
　",旅館,S20.12.05,京都市東山区八坂鳥居前下る下河原町463-34,1945-12-05 00:00:00,135.77941143,35.00020081,1945,1940,1
1167,合資会社　晴鴨樓,"合資会社　晴鴨樓
代表社員　村岡　正浩",旅館,S21.02.16,京都市東山区問屋町五条下る三丁目西橘町467,1946-02-16 00:00:00,135.76837939,34.99449293,1946,1940,1
1168,清水房,"山本　フサ
　",旅館,S23.09.15,京都市東山区大和大路通三条下る三丁目弁財天,1948-09-15 00:00:00,135.77262585,35.00586419,1948,1940,1
1829,新潟屋旅館,"福野　康雄
　",旅館,S24.06.30,京都市下京区六条通室町東入東魚屋町224,1949-06-30 00:00:00,135.75868321,34.99391787,1949,1940,1
1830,花ノ戸,"別所　多鶴子
　",旅館,S24.07.15,京都市下京区木屋町通松原上る美濃屋町182,1949-07-15 00:00:00,135.76859312,34.99900921,1949,1940,1
625,株式会社　炭屋旅館,"株式会社　炭屋旅館
代表取締役　堀部　憲",旅館,S24.08.04,京都市中京区麩屋町通三条下る白壁町431,1949-08-04 00:00:00,135.76590978,35.00829452,1949,1940,1
408,吉田山荘,"株式会社　吉田山荘
代表取締役　中村　英一",旅館,S24.10.07,京都市左京区吉田下大路町59-1,1949-10-07 00:00:00,135.78663248,35.02281831,1949,1940,1
1169,四季育む宿　然林房,"株式会社　然林房 
代表取締役　村田　吉弘",旅館,S24.10.20,京都市東山区下河原通八坂鳥居前下る下河原町,1949-10-20 00:00:00,135.78014746,35.00095629,1949,1940,1
626,三福,"小野山　美津代 
　",旅館,S25.05.24,京都市中京区先斗町通三条下ル若松町140,1950-05-24 00:00:00,135.77117874,35.00709186,1950,1950,1
1831,株式会社　鶴清 ,"株式会社　鶴清 
代表取締役　田中　義久 ",旅館,S26.11.29,京都市下京区木屋町通五条上る下材木町451,1951-11-29 00:00:00,135.76784327,34.99675662,1951,1950,1
1832,高松屋,"滝澤　弘
　",旅館,S27.02.08,京都市下京区花屋町通東中筋西入学林町294,1952-02-08 00:00:00,135.75411143,34.99280402,1952,1950,1
1833,安本旅館,"安本　守
　",旅館,S27.11.12,京都市下京区油小路通北小路上る玉本町189,1952-11-12 00:00:00,135.75392541,34.99068752,1952,1950,1
114,松葉屋旅館,"岡田　鉞子
　",旅館,S29.03.15,京都市上京区下立売通堀川東入東橋詰町173,1954-03-15 00:00:00,135.75253023,35.02029899,1954,1950,1
627,安楽,"水野　修
　",旅館,S29.04.22,京都市中京区大宮通四条上る錦大宮町144,1954-04-22 00:00:00,135.74933096,35.00455026,1954,1950,1
1170,浦島,"綾部　喜代子
　",旅館,S29.12.27,京都市東山区八坂新地富永町137,1954-12-27 00:00:00,135.77368412,35.00438932,1954,1950,1
3096,桃山温泉　月見館,"株式会社　月見館
代表取締役　南　光大",旅館,S30.12.13,京都市伏見区桃山町泰長老１６０番地の４,1955-12-13 00:00:00,135.77019753,34.92833279,1955,1950,1
628,旅館吉川　株式会社,"旅館吉川　株式会社
代表取締役　吉川　志津子",旅館,S31.04.02,京都市中京区富小路通御池下る松下町135,1956-04-02 00:00:00,135.76477094,35.01031102,1956,1950,1
1834,だいや,"株式会社大弥
代表取締役　稲田　浩行",旅館,S31.04.16,京都市下京区下珠数屋町通東洞院東入西玉水町292,1956-04-16 00:00:00,135.76119976,34.99043207,1956,1950,1
1171,佐々木,"佐々木　久枝
　",旅館,S31.05.09,京都市東山区大和大路通四条下る四丁目小松町,1956-05-09 00:00:00,135.77220938,35.00029246,1956,1950,1
409,有限会社　旅館　さわや本店,"有限会社　旅館　さわや本店
代表取締役　中村　貞正",旅館,S31.09.25,京都市左京区聖護院川原町25,1956-09-25 00:00:00,135.77694184,35.017943700000004,1956,1950,1
629,幾松,"株式会社　幾松
代表取締役　久保　義介",旅館,S31.11.30,京都市中京区木屋町通御池上る上樵木町497,1956-11-30 00:00:00,135.77072865,35.01176091,1956,1950,1
410,洛東荘,"山田　貞子
　",旅館,S32.05.23,京都市左京区岡崎東福ノ川町18,1957-05-23 00:00:00,135.78454941,35.01857979,1957,1950,1
1835,お宿にわ,"菱川　義浩
　",簡易宿所,S32.06.19,京都市下京区不明門通上珠数屋町下る亀町2,1957-06-19 00:00:00,135.76051921,34.99203748,1957,1950,1
0,株式会社　洛雲荘,"株式会社　洛雲荘
代表取締役　波多野　勝造",旅館,S32.10.01,京都市北区雲ケ畑出谷町343,1957-10-01 00:00:00,135.7154965,35.12477582,1957,1950,1
3097,薬力亭,"木村　ツギ江
　",簡易宿所,S32.12.26,京都市伏見区稲荷山官有地,1957-12-26 00:00:00,135.77981458,34.96967079,1957,1950,1
1172,寿,"菊川　しずゑ
　",旅館,S32.12.27,京都市東山区大和大路四条下る博多町112-3,1957-12-27 00:00:00,135.7721149,35.00173677,1957,1950,1
411,北野家,"西村　安恵
　",旅館,S33.02.10,京都市左京区東大路通仁王門下る東門前町524,1958-02-10 00:00:00,135.77867238,35.01049159,1958,1950,1
630,石原旅館,"石原　元治
　",旅館,S33.05.28,京都市中京区柳馬場姉小路上る柳八幡町76,1958-05-28 00:00:00,135.76412101,35.00999994,1958,1950,1
1836,富山県詰所,"布目　純子
　",簡易宿所,S33.06.21,京都市下京区上珠数屋町通烏丸東入高槻町337,1958-06-21 00:00:00,135.7606914,34.99241801,1958,1950,1
631,要庵　　西富家,"株式会社　西富家
代表取締役　西田　和雄",旅館,S33.09.29,京都市中京区富小路通六角下る骨屋之町562,1958-09-29 00:00:00,135.76459885,35.00662799,1958,1950,1
1173,紫,"吉田　綾子
　",旅館,S33.10.08,京都市東山区祇園町南側570-7,1958-10-08 00:00:00,135.77421469,35.00205341,1958,1950,1
1837,京の宿　北海館　お花坊,"株式会社　北海舘
代表取締役　小西　晴夫",旅館,S33.12.19,京都市下京区不明門通下珠数屋町上る卓屋町66,1958-12-19 00:00:00,135.76056369999998,34.99074592,1958,1950,1
3098,清和荘,"株式会社　清和荘
代表取締役　竹中　徹男",旅館,S34.02.10,京都市伏見区深草越後屋敷町8,1959-02-10 00:00:00,135.76254378,34.94905844,1959,1950,1
1838,有限会社　栄家,"有限会社　栄家
代表取締役　竹内　雅文",旅館,S34.02.10,京都市下京区木屋町通高辻上る和泉屋町170,1959-02-10 00:00:00,135.76915692,35.000148,1959,1950,1
1839,株式会社　日本館,"株式会社　日本館
代表取締役　加藤　邦嘉",旅館,S34.02.18,京都市下京区烏丸通七条下る西入東塩小路町69,1959-02-18 00:00:00,135.76203865,34.98774064,1959,1950,1
412,小の山荘,"有限会社　小の山荘
代表取締役　山崎　美子",旅館,S34.03.04,京都市左京区大原来迎院町444,1959-03-04 00:00:00,135.83374079,35.11807736,1959,1950,1
1840,有限会社　たき川旅館　本館,"有限会社　たき川旅館本館
代表取締役　滝川　敦之",旅館,S34.03.19,京都市下京区東洞院通花屋町下る富田町365,1959-03-19 00:00:00,135.76122743,34.99304852,1959,1950,1
1841,株式会社　井筒安旅館,"株式会社　井筒安旅館
代表取締役　井筒　安次郎",旅館,S34.07.04,京都市下京区東洞院通下珠数屋町上る笹屋町27,1959-07-04 00:00:00,135.76088311,34.99092091,1959,1950,1
632,柊家　別館,"柊家　株式会社
代表取締役　西村　勝",旅館,S34.07.27,京都市中京区御幸町通二条下る山本町431,1959-07-27 00:00:00,135.7666818,35.01284692,1959,1950,1
1174,近江,"馬場　しずゑ
　",旅館,S34.08.08,京都市東山区東大路松原上る四丁目毘沙門町44,1959-08-08 00:00:00,135.77728386,35.00047578,1959,1950,1
1175,有限会社　柳川,"有限会社　柳川
代表取締役　小倉　和子",旅館,S34.12.07,京都市東山区大和大路三条下る三丁目弁財天町,1959-12-07 00:00:00,135.77262585,35.00586419,1959,1950,1
633,近又,"有限会社　近又
代表取締役　鵜飼　治二",旅館,S35.01.20,京都市中京区御幸町通四条上る大日町407,1960-01-20 00:00:00,135.76614319,35.00475037,1960,1960,1
1176,湯河原,"山崎　暢子
　",旅館,S35.03.03,京都市東山区大和大路四条下る小松町551-1,1960-03-03 00:00:00,135.77220938,35.00029246,1960,1960,1
413,株式会社　北白川天然ラヂウム温泉,"株式会社　北白川天然ラヂウム温泉
代表取締役　藤田　恒二郎",旅館,S35.12.23,京都市左京区北白川地蔵谷町1-125,1960-12-23 00:00:00,135.80907785,35.03779201,1960,1960,1
1177,千楽,"高橋　茂野
　",旅館,S36.05.20,京都市東山区八坂鳥居前東入円山町市有地,1961-05-20 00:00:00,135.78237499,35.00297833,1961,1960,1
1178,水月,"井上　佐千子
　",旅館,S36.07.31,京都市東山区三条大和大路二丁目新五軒町192,1961-07-31 00:00:00,135.77477293,35.00365883,1961,1960,1
1179,ホテル東山閣,"山陽興業　株式会社
代表取締役　曽我　俊彦",旅館,S36.12.25,京都市東山区東大路渋谷下る妙法院前側町431,1961-12-25 00:00:00,135.77422886,34.99107665,1961,1960,1
1180,こまつ,"福島　明彦
　",旅館,S37.08.07,京都市東山区祇園町南側501番地2,1962-08-07 00:00:00,135.77867258,35.00223117,1962,1960,1
1181,田舎亭,"奥村　勇太
　",旅館,S37.08.23,京都市東山区下河原通八坂鳥居前下る下河原町463,1962-08-23 00:00:00,135.7794031,35.00036746,1962,1960,1
414,旅館　洛頂,"浦出　克則
　",旅館,S37.09.24,京都市左京区下鴨東半木町67,1962-09-24 00:00:00,135.76737377,35.04489898,1962,1960,1
634,山喜久,"山森　株式会社
代表取締役　山森　好雄",旅館,S37.11.27,京都市中京区御池河原町東入一之船入町537,1962-11-27 00:00:00,135.77005372,35.01155259,1962,1960,1
635,株式会社　俵屋旅館,"株式会社　俵屋旅館
代表取締役　佐藤　年",旅館,S37.12.12,京都市中京区麩屋町通姉小路上る中白山町278,1962-12-12 00:00:00,135.76593193,35.01038602,1962,1960,1
415,不動温泉,"不動院
代表役員　黄丹　良海",簡易宿所,S38.07.30,京都市左京区北白川地蔵谷町1-244,1963-07-30 00:00:00,135.80903619,35.03804197,1963,1960,1
1182,京の宿　祇園佐の,"清水観光　株式会社
代表取締役　佐野　篤司",旅館,S38.09.14,京都市東山区高台寺北門通下河原東入鷲尾町504,1963-09-14 00:00:00,135.77930031,35.00180066,1963,1960,1
1183,東観荘,"株式会社　東観荘
代表取締役　武田　みどり",旅館,S38.09.26,京都市東山区八坂鳥居前東入円山町614,1963-09-26 00:00:00,135.7829916,35.00277001,1963,1960,1
