,area,value,year,item
0,北海道,105107.68908443328,1955.0,pergdp
1,青森県,65992.04627621113,1955.0,pergdp
2,岩手県,65915.20672740015,1955.0,pergdp
3,宮城県,78138.96931094384,1955.0,pergdp
4,秋田県,80812.45366938473,1955.0,pergdp
5,山形県,67981.53618906942,1955.0,pergdp
6,福島県,72862.05250596657,1955.0,pergdp
7,茨城県,72146.80232558139,1955.0,pergdp
8,栃木県,89589.79328165374,1955.0,pergdp
9,群馬県,73592.93680297399,1955.0,pergdp
10,埼玉県,68642.50994255413,1955.0,pergdp
11,千葉県,68976.41723356009,1955.0,pergdp
12,東京都,190265.14868732114,1955.0,pergdp
13,神奈川県,109383.35046248717,1955.0,pergdp
14,新潟県,82398.30165790537,1955.0,pergdp
15,富山県,96757.10088148878,1955.0,pergdp
16,石川県,91469.97929606627,1955.0,pergdp
17,福井県,92055.70291777188,1955.0,pergdp
18,山梨県,65107.80669144981,1955.0,pergdp
19,長野県,68788.2236516576,1955.0,pergdp
20,岐阜県,91399.62121212123,1955.0,pergdp
21,静岡県,105158.49056603774,1955.0,pergdp
22,愛知県,126369.59405677901,1955.0,pergdp
23,三重県,104165.5450874832,1955.0,pergdp
24,滋賀県,96699.06323185012,1955.0,pergdp
25,京都府,100050.64599483203,1955.0,pergdp
26,大阪府,143991.12169770466,1955.0,pergdp
27,兵庫県,125404.03203534936,1955.0,pergdp
28,奈良県,87743.88674388675,1955.0,pergdp
29,和歌山県,110299.90069513406,1955.0,pergdp
30,鳥取県,84112.37785016287,1955.0,pergdp
31,島根県,68833.15392895589,1955.0,pergdp
32,岡山県,84777.51479289941,1955.0,pergdp
33,広島県,92830.15355979523,1955.0,pergdp
34,山口県,106191.3043478261,1955.0,pergdp
35,徳島県,69292.71070615035,1955.0,pergdp
36,香川県,87636.65254237289,1955.0,pergdp
37,愛媛県,87079.81829980532,1955.0,pergdp
38,高知県,72124.57531143827,1955.0,pergdp
39,福岡県,103811.65803108807,1955.0,pergdp
40,佐賀県,73725.8726899384,1955.0,pergdp
41,長崎県,69998.28375286041,1955.0,pergdp
42,熊本県,66566.98312236287,1955.0,pergdp
43,大分県,75657.00861393893,1955.0,pergdp
44,宮崎県,67713.78402107111,1955.0,pergdp
45,鹿児島県,60276.90802348338,1955.0,pergdp
46,沖縄県,38547.422680412375,1955.0,pergdp
0,北海道,107627.8973509934,1956.0,pergdp
1,青森県,73163.32378223495,1956.0,pergdp
2,岩手県,72408.48990953376,1956.0,pergdp
